Date,USD_CHF,Gold_USD,Gold_CHF,SP500_TR,SP500_TR_CHF
2000-08-01,1.6688,278,464,2104,3512
2000-09-01,1.7412,274,476,1993,3471
2000-11-01,1.7862,270,482,1828,3266
2000-12-01,1.7326,272,471,1837,3183
2001-01-01,1.615,266,429,1903,3073
2001-02-01,1.6295,267,435,1729,2818
2001-03-01,1.6626,258,429,1620,2693
2001-05-01,1.7308,265,459,1757,3041
2001-06-01,1.7939,271,485,1714,3075
2001-08-01,1.7133,274,470,1591,2726
2001-09-01,1.6706,292,488,1463,2444
2001-10-01,1.6218,280,453,1491,2417
2001-11-01,1.6187,274,443,1605,2598
2001-12-01,1.6506,279,460,1619,2672
2002-01-01,1.6412,282,463,1595,2618
2002-02-01,1.7123,297,508,1565,2679
2002-03-01,1.7005,303,515,1623,2761
2002-04-01,1.6646,309,514,1525,2538
2002-05-01,1.6125,326,526,1514,2441
2002-06-01,1.5755,314,494,1406,2215
2002-07-01,1.4828,303,450,1296,1922
2002-08-01,1.4862,312,464,1305,1939
2002-10-01,1.4779,318,470,1265,1870
2002-11-01,1.4644,317,464,1340,1962
2003-01-01,1.3908,368,512,1228,1708
2003-02-01,1.3686,350,479,1210,1656
2003-03-01,1.3538,336,455,1221,1654
2003-04-01,1.356,339,460,1322,1793
2003-05-01,1.3439,364,490,1392,1870
2003-07-01,1.3499,354,478,1434,1936
2003-08-01,1.3701,376,515,1462,2004
2003-09-01,1.4017,385,540,1447,2028
2003-10-01,1.3192,384,507,1529,2017
2003-11-01,1.3414,397,532,1542,2068
2003-12-01,1.29,416,536,1623,2094
2004-01-01,1.2401,402,499,1653,2050
2004-03-01,1.2643,427,540,1650,2087
2004-04-01,1.2658,387,490,1625,2056
2004-05-01,1.2988,394,512,1647,2139
2004-06-01,1.2493,393,490,1679,2097
2004-07-01,1.2518,391,489,1623,2032
2004-09-01,1.2645,419,529,1647,2083
2004-10-01,1.2483,428,535,1673,2088
2004-11-01,1.2016,451,542,1740,2091
2004-12-01,1.1434,438,500,1800,2058
2005-01-01,1.1434,422,482,1756,2007
2005-02-01,1.1911,436,520,1793,2135
2005-03-01,1.162,429,498,1761,2046
2005-04-01,1.1982,435,521,1727,2070
2005-06-01,1.252,436,546,1785,2235
2005-07-01,1.2839,430,552,1851,2377
2005-08-01,1.276,434,554,1834,2341
2005-09-01,1.2482,469,585,1849,2308
2005-10-01,1.302,465,606,1818,2368
2005-11-01,1.288,495,637,1887,2431
2005-12-01,1.3169,517,681,1888,2486
2006-02-01,1.285,562,722,1943,2497
2006-03-01,1.3062,582,760,1967,2570
2006-04-01,1.31,652,854,1994,2612
2006-05-01,1.2356,642,794,1936,2393
2006-06-01,1.2271,614,753,1939,2379
2006-07-01,1.2255,634,777,1951,2391
2006-08-01,1.2319,626,771,1997,2461
2006-09-01,1.232,599,737,2049,2524
2006-11-01,1.2448,647,805,2156,2684
2006-12-01,1.1993,635,762,2186,2622
2007-01-01,1.2136,652,791,2219,2693
2007-02-01,1.2423,669,832,2176,2703
2007-03-01,1.2174,663,807,2200,2678
2007-05-01,1.2156,661,804,2378,2890
2007-06-01,1.2291,648,797,2338,2874
2007-08-01,1.203,673,810,2300,2766
2007-09-01,1.2088,743,898,2386,2884
2007-10-01,1.1666,792,924,2424,2827
2007-11-01,1.1603,782,908,2322,2695
2007-12-01,1.1297,835,943,2306,2605
2008-01-01,1.1253,923,1038,2168,2440
2008-02-01,1.079,972,1049,2097,2263
2008-03-01,1.0384,916,951,2088,2169
2008-04-01,1.0049,863,867,2190,2201
2008-05-01,1.0505,887,932,2218,2330
2008-07-01,1.0177,914,930,2014,2050
2008-08-01,1.0482,829,869,2044,2142
2008-09-01,1.0987,874,960,1861,2045
2008-10-01,1.1234,717,805,1549,1740
2008-11-01,1.1568,816,944,1438,1663
2008-12-01,1.2105,884,1070,1453,1759
2009-01-01,1.0727,927,995,1331,1427
2009-04-01,1.1404,891,1016,1417,1616
2009-05-01,1.1414,979,1117,1496,1708
2009-06-01,1.0647,927,987,1499,1596
2009-07-01,1.0812,954,1031,1612,1743
2009-08-01,1.0659,952,1014,1671,1781
2009-09-01,1.0586,1008,1067,1733,1834
2009-10-01,1.0431,1040,1084,1701,1774
2009-12-01,1.0003,1095,1096,1838,1838
2010-01-01,1.0336,1083,1119,1771,1831
2010-02-01,1.0584,1118,1184,1826,1933
2010-03-01,1.0827,1113,1205,1936,2097
2010-04-01,1.0528,1180,1242,1967,2071
2010-05-01,1.0823,1212,1312,1810,1959
2010-06-01,1.1668,1246,1453,1715,2001
2010-07-01,1.0689,1182,1263,1835,1962
2010-09-01,1.013,1308,1325,1909,1934
2010-10-01,0.9779,1357,1327,1982,1938
2010-11-01,0.9878,1385,1368,1982,1958
2010-12-01,1.0048,1421,1428,2114,2124
2011-01-01,0.9338,1334,1246,2164,2021
2011-02-01,0.9418,1409,1327,2239,2108
2011-03-01,0.9294,1439,1337,2239,2081
2011-04-01,0.9235,1556,1437,2306,2129
2011-06-01,0.8455,1502,1270,2242,1895
2011-07-01,0.8467,1628,1379,2196,1859
2011-08-01,0.7818,1828,1430,2077,1624
2011-09-01,0.7992,1620,1295,1931,1543
2011-10-01,0.9109,1724,1571,2142,1951
2011-11-01,0.8934,1746,1559,2137,1909
2011-12-01,0.909,1566,1423,2159,1962
2012-02-01,0.9145,1710,1564,2353,2152
2012-03-01,0.9053,1669,1511,2431,2201
2012-05-01,0.9152,1563,1430,2270,2078
2012-06-01,0.9745,1604,1563,2364,2304
2012-08-01,0.9768,1685,1646,2451,2394
2012-09-01,0.9554,1771,1692,2514,2402
2012-10-01,0.9393,1718,1613,2468,2318
2012-11-01,0.9304,1711,1592,2482,2309
2012-12-01,0.9257,1675,1550,2504,2318
2013-01-01,0.9116,1661,1514,2634,2401
2013-02-01,0.9052,1578,1428,2670,2417
2013-03-01,0.9419,1595,1502,2770,2609
2013-04-01,0.947,1472,1394,2823,2674
2013-05-01,0.9282,1393,1293,2889,2682
2013-06-01,0.9576,1224,1172,2851,2730
2013-07-01,0.9465,1312,1242,2996,2836
2013-08-01,0.9306,1396,1299,2909,2707
2013-10-01,0.904,1324,1197,3138,2837
2013-11-01,0.9115,1251,1140,3234,2948
2014-01-01,0.9011,1240,1117,3201,2884
2014-02-01,0.9058,1321,1197,3347,3032
2014-03-01,0.881,1283,1131,3376,2974
2014-04-01,0.8831,1296,1144,3400,3003
2014-05-01,0.8793,1246,1095,3480,3060
2014-07-01,0.8868,1281,1136,3503,3106
2014-08-01,0.908,1286,1168,3643,3308
2014-09-01,0.9192,1210,1113,3592,3302
2014-10-01,0.9579,1171,1122,3680,3525
2014-11-01,0.9649,1175,1134,3779,3646
2014-12-01,0.9646,1184,1142,3769,3636
2015-01-01,0.9983,1278,1276,3656,3650
2015-04-01,0.9694,1182,1146,3842,3724
2015-05-01,0.9353,1189,1113,3891,3640
2015-06-01,0.944,1172,1106,3816,3602
2015-07-01,0.9421,1095,1031,3896,3670
2015-08-01,0.9678,1132,1095,3661,3543
2015-09-01,0.9634,1116,1075,3570,3440
2015-10-01,0.9776,1142,1116,3871,3785
2015-12-01,1.0291,1060,1091,3822,3933
2016-01-01,0.9994,1116,1116,3632,3630
2016-02-01,1.0195,1234,1258,3627,3698
2016-03-01,0.9989,1234,1233,3873,3869
2016-04-01,0.9575,1289,1234,3888,3723
2016-06-01,0.9894,1318,1304,3968,3926
2016-07-01,0.9731,1349,1313,4115,4004
2016-08-01,0.968,1307,1265,4120,3989
2016-09-01,0.9849,1313,1294,4121,4059
2016-10-01,0.9717,1272,1236,4046,3931
2016-11-01,0.9817,1171,1149,4196,4119
2016-12-01,1.0129,1150,1165,4279,4334
2017-02-01,0.9898,1253,1240,4533,4487
2017-03-01,1.0108,1247,1261,4538,4587
2017-04-01,1.002,1266,1269,4585,4594
2017-05-01,0.9942,1272,1265,4649,4623
2017-06-01,0.9701,1241,1204,4678,4538
2017-07-01,0.9625,1267,1219,4775,4596
2017-08-01,0.9663,1316,1272,4789,4628
2017-09-01,0.9598,1282,1230,4888,4692
2017-11-01,1.0024,1273,1276,5155,5168
2017-12-01,0.9837,1306,1285,5213,5128
2018-01-01,0.9712,1339,1300,5511,5353
2018-02-01,0.9313,1316,1225,5308,4943
2018-03-01,0.9464,1323,1252,5173,4896
2018-05-01,0.9958,1300,1295,5318,5296
2018-06-01,0.9882,1251,1237,5351,5288
2018-08-01,0.9909,1200,1189,5731,5678
2018-09-01,0.9706,1192,1157,5763,5594
2018-10-01,0.9835,1212,1192,5369,5281
2018-11-01,1.0032,1220,1224,5479,5497
2018-12-01,0.9992,1278,1277,4984,4980
2019-01-01,0.9861,1320,1301,5384,5309
2019-02-01,0.9935,1313,1304,5556,5520
2019-03-01,0.9982,1293,1291,5664,5655
2019-04-01,0.995,1283,1276,5894,5864
2019-05-01,1.0185,1306,1330,5519,5621
2019-06-01,0.9979,1410,1407,5908,5896
2019-07-01,0.9817,1426,1400,5993,5883
2019-08-01,0.9956,1519,1512,5898,5872
2019-10-01,1.0007,1511,1513,6139,6143
2019-11-01,0.9887,1466,1449,6362,6290
2020-01-01,0.9707,1583,1537,6551,6359
2020-02-01,0.9644,1564,1508,6012,5798
2020-04-01,0.966,1684,1627,5945,5742
2020-05-01,0.964,1737,1674,6228,6004
2020-06-01,0.9613,1793,1724,6352,6106
2020-07-01,0.9482,1963,1861,6710,6362
2020-08-01,0.9197,1968,1810,7192,6614
2020-09-01,0.9064,1888,1711,6919,6271
2020-10-01,0.9179,1877,1723,6735,6182
2020-12-01,0.9054,1893,1714,7759,7025
2021-01-01,0.8792,1847,1624,7681,6753
2021-02-01,0.8951,1728,1547,7893,7065
2021-03-01,0.9138,1714,1566,8238,7528
2021-04-01,0.9449,1767,1670,8678,8200
2021-05-01,0.9146,1902,1740,8739,7993
2021-06-01,0.8987,1771,1591,8943,8036
2021-07-01,0.9244,1813,1675,9155,8463
2021-09-01,0.9177,1755,1611,8995,8255
2021-10-01,0.9303,1783,1659,9625,8954
2021-11-01,0.9122,1774,1618,9558,8720
2021-12-01,0.9216,1828,1684,9987,9204
2022-01-01,0.9134,1795,1640,9470,8650
2022-02-01,0.9213,1899,1750,9186,8464
2022-03-01,0.918,1949,1789,9527,8746
2022-04-01,0.9244,1909,1765,8697,8040
2022-06-01,0.962,1804,1736,7993,7690
2022-07-01,0.9618,1763,1696,8730,8397
2022-08-01,0.9496,1713,1626,8374,7952
2022-09-01,0.9798,1662,1629,7603,7450
2022-10-01,0.9891,1636,1618,8219,8129
2022-11-01,0.9931,1746,1734,8678,8618
2022-12-01,0.9439,1820,1718,8178,7720
2023-02-01,0.9161,1829,1675,8480,7768
2023-03-01,0.9357,1969,1842,8791,8226
2023-04-01,0.9153,1990,1821,8928,8172
2023-05-01,0.8975,1964,1763,8967,8048
2023-06-01,0.9098,1921,1748,9560,8697
2023-07-01,0.8992,1970,1772,9867,8872
2023-08-01,0.876,1938,1698,9710,8506
2023-09-01,0.8829,1848,1632,9247,8164
2023-11-01,0.9084,2038,1851,9879,8974
2023-12-01,0.8763,2062,1807,10328,9051
2024-01-01,0.8493,2048,1740,10501,8919
2024-02-01,0.8633,2046,1766,11062,9550
2024-03-01,0.8862,2217,1965,11418,10118
2024-04-01,0.9085,2291,2082,10952,9949
2024-05-01,0.9122,2323,2119,11495,10486
2024-06-01,0.9013,2328,2098,11907,10732
2024-07-01,0.9017,2426,2188,12052,10868
2024-08-01,0.8775,2494,2188,12344,10832
2024-10-01,0.8474,2738,2320,12494,10587
2024-11-01,0.8661,2657,2301,13227,11455
2025-01-01,0.908,2812,2554,13271,12050
2025-02-01,0.9142,2837,2594,13098,11975
2025-03-01,0.9009,3123,2813,12360,11135
2025-04-01,0.8825,3305,2917,12276,10833
2025-05-01,0.8237,3289,2709,13049,10748
2025-07-01,0.7895,3293,2600,14020,11069
2025-08-01,0.8166,3474,2836,14305,11681
2025-09-01,0.8009,3841,3076,14827,11875
2025-10-01,0.7988,3982,3181,15174,12121
2025-11-01,0.8075,4069,3286,14605,11794
